fighter_name,opponent_name,result,method_raw,method_group,event_name,event_date,round,fight_time,profile_url
Tom Aaron,Matt Ricehouse,L,U-DEC,other,Strikeforce - Henderson vs. Babalu,"Dec. 04, 2010",3,5:00,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Tom Aaron,Eric Steenberg,W,SUB Guillotine Choke,other,Strikeforce - Heavy Artillery,"May. 15, 2010",1,0:56,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny Abbadi,Jorge Gurgel,L,S-DEC,other,UFC 63: Hughes vs Penn,"Sep. 23, 2006",3,5:00,http://ufcstats.com/fighter-details/15df64c02b6b0fde
Danny Abbadi,Kalib Starnes,L,SUB Rear Naked Choke,other,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,"Jun. 24, 2006",1,2:56,http://ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman Abbasov,Ismael Bonfim,L,U-DEC,other,DWCS 6.7,"Sep. 06, 2022",3,5:00,http://ufcstats.com/fighter-details/59a9d6dac61c2540
Darion Abbey,Donte Johnson,L,KO/TKO Punches,ko,DWCS 9.3,"Aug. 26, 2025",1,1:04,http://ufcstats.com/fighter-details/4961467134abd8be
David Abbott,Kevin Ferguson,L,KO/TKO Punches,ko,EliteXC - Street Certified,"Feb. 16, 2008",1,0:43,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Paul Buentello,L,KO/TKO Punch,ko,Strikeforce - Tank vs. Buentello,"Oct. 07, 2006",1,0:43,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Hidehiko Yoshida,L,SUB Gi Choke,other,PRIDE Final Conflict 2005,"Aug. 28, 2005",1,7:40,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Wesley Correira,L,KO/TKO,ko,UFC 45: Revolution,"Nov. 21, 2003",1,2:14,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Kimo Leopoldo,L,SUB Arm Triangle,other,UFC 43: Meltdown,"Jun. 06, 2003",1,1:59,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Frank Mir,L,SUB Toe Hold,other,UFC 41: Onslaught,"Feb. 28, 2003",1,0:46,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Pedro Rizzo,L,KO/TKO Punch,ko,UFC - Ultimate Brazil,"Oct. 16, 1998",1,8:07,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Hugo Duarte,W,KO/TKO Punches,ko,UFC 17: Redemption,"May. 15, 1998",1,0:43,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Yoji Anjo,W,U-DEC,other,UFC - Ultimate Japan,"Dec. 21, 1997",2,3:00,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Maurice Smith,L,SUB Other,other,UFC 15: Collision Course,"Oct. 17, 1997",1,8:08,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Vitor Belfort,L,KO/TKO Punches,ko,UFC 13: The Ultimate Force,"May. 30, 1997",1,0:52,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Don Frye,L,SUB Rear Naked Choke,other,UFC - Ultimate Ultimate '96,"Dec. 07, 1996",1,1:22,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Steve Nelmark,W,KO/TKO Punch,ko,UFC - Ultimate Ultimate '96,"Dec. 07, 1996",1,1:03,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Cal Worsham,W,KO/TKO Punches,ko,UFC - Ultimate Ultimate '96,"Dec. 07, 1996",1,2:51,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Scott Ferrozzo,L,U-DEC,other,UFC 11: The Proving Ground,"Sep. 20, 1996",2,3:00,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Sam Adkins,W,SUB Forearm Choke,other,UFC 11: The Proving Ground,"Sep. 20, 1996",1,2:06,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Dan Severn,L,U-DEC,other,UFC - Ultimate Ultimate '95,"Dec. 16, 1995",1,18:00,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Steve Jennum,W,SUB Neck Crank,other,UFC - Ultimate Ultimate '95,"Dec. 16, 1995",1,1:14,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Oleg Taktarov,L,SUB Rear Naked Choke,other,UFC 6: Clash of the Titans,"Jul. 14, 1995",1,17:45,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,Paul Varelans,W,KO/TKO Punches,ko,UFC 6: Clash of the Titans,"Jul. 14, 1995",1,1:53,http://ufcstats.com/fighter-details/b361180739bed4b0
David Abbott,John Matua,W,KO/TKO Punches,ko,UFC 6: Clash of the Titans,"Jul. 14, 1995",1,0:20,http://ufcstats.com/fighter-details/b361180739bed4b0
Hamdy Abdelwahab,Chris Barnett,W,U-DEC,other,UFC 321: Aspinall vs. Gane,"Oct. 25, 2025",3,5:00,http://ufcstats.com/fighter-details/3329d692aea4dc28
Hamdy Abdelwahab,Mohammed Usman,L,U-DEC,other,UFC Fight Night: Hill vs. Rountree Jr.,"Jun. 21, 2025",3,5:00,http://ufcstats.com/fighter-details/3329d692aea4dc28
Hamdy Abdelwahab,Jamal Pogues,W,S-DEC,other,UFC Fight Night: Adesanya vs. Imavov,"Feb. 01, 2025",3,5:00,http://ufcstats.com/fighter-details/3329d692aea4dc28
Mansur Abdul-Malik,Antonio Trocoli,W,SUB Guillotine Choke,other,UFC 323: Dvalishvili vs. Yan 2,"Dec. 06, 2025",1,1:09,http://ufcstats.com/fighter-details/841695e02c99a521
Mansur Abdul-Malik,Cody Brundage,D,Overturned,other,UFC Fight Night: Usman vs. Buckley,"Jun. 14, 2025",3,0:36,http://ufcstats.com/fighter-details/841695e02c99a521
Mansur Abdul-Malik,Nick Klein,W,KO/TKO Punches,ko,UFC Fight Night: Cejudo vs. Song,"Feb. 22, 2025",2,3:24,http://ufcstats.com/fighter-details/841695e02c99a521
Mansur Abdul-Malik,Dusko Todorovic,W,KO/TKO Punches,ko,UFC Fight Night: Magny vs. Prates,"Nov. 09, 2024",1,2:44,http://ufcstats.com/fighter-details/841695e02c99a521
Mansur Abdul-Malik,Wes Schultz,W,KO/TKO Elbows,ko,DWCS 8.1,"Aug. 13, 2024",2,3:55,http://ufcstats.com/fighter-details/841695e02c99a521
Shamil Abdurakhimov,Jailton Almeida,L,KO/TKO Punches,ko,UFC 283: Teixeira vs. Hill,"Jan. 21, 2023",2,2:56,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Shamil Abdurakhimov,Sergei Pavlovich,L,KO/TKO Punches,ko,UFC Fight Night: Volkov vs. Aspinall,"Mar. 19, 2022",1,4:03,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Shamil Abdurakhimov,Chris Daukaus,L,KO/TKO Punch,ko,UFC 266: Volkanovski vs. Ortega,"Sep. 25, 2021",2,1:23,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Shamil Abdurakhimov,Curtis Blaydes,L,KO/TKO Elbow,ko,UFC 242: Khabib vs. Poirier,"Sep. 07, 2019",2,2:22,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Shamil Abdurakhimov,Marcin Tybura,W,KO/TKO Punches,ko,UFC Fight Night: Overeem vs. Oleinik,"Apr. 20, 2019",2,3:15,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Shamil Abdurakhimov,Andrei Arlovski,W,U-DEC,other,UFC Fight Night: Hunt vs. Oleinik,"Sep. 15, 2018",3,5:00,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Shamil Abdurakhimov,Chase Sherman,W,KO/TKO Punches,ko,UFC Fight Night: Bisping vs. Gastelum,"Nov. 25, 2017",1,1:24,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Shamil Abdurakhimov,Derrick Lewis,L,KO/TKO Punches,ko,UFC Fight Night: Lewis vs. Abdurakhimov,"Dec. 09, 2016",4,3:42,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Shamil Abdurakhimov,Walt Harris,W,S-DEC,other,UFC Fight Night: Lineker vs. Dodson,"Oct. 01, 2016",3,5:00,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Shamil Abdurakhimov,Anthony Hamilton,W,U-DEC,other,UFC Fight Night: Cowboy vs Cowboy,"Feb. 21, 2016",3,5:00,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Shamil Abdurakhimov,Timothy Johnson,L,KO/TKO Punches,ko,UFC Fight Night: Mendes vs Lamas,"Apr. 04, 2015",1,4:57,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki Abe,Naoki Matsushita,D,Other,other,PRIDE Bushido 12,"Aug. 27, 2006",2,5:00,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Hiroyuki Abe,Luiz Firmino,L,SUB Arm Triangle,other,PRIDE Bushido 4,"Jul. 19, 2004",1,2:52,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi Abe,Li Jingliang,L,U-DEC,other,UFC Fight Night: Cowboy vs. Edwards,"Jun. 23, 2018",3,5:00,http://ufcstats.com/fighter-details/5140122c3eecd307
Daichi Abe,Luke Jumeau,L,U-DEC,other,UFC 221: Romero vs. Rockhold,"Feb. 10, 2018",3,5:00,http://ufcstats.com/fighter-details/5140122c3eecd307
Daichi Abe,Hyun Gyu Lim,W,U-DEC,other,UFC Fight Night: Saint Preux vs. Okami,"Sep. 22, 2017",3,5:00,http://ufcstats.com/fighter-details/5140122c3eecd307
Papy Abedi,Dylan Andrews,L,KO/TKO Punch,ko,UFC Fight Night: Condit vs Kampmann 2,"Aug. 28, 2013",3,1:32,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Papy Abedi,Besam Yousef,W,S-DEC,other,UFC on FUEL TV: Mousasi vs Latifi,"Apr. 06, 2013",3,5:00,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Papy Abedi,James Head,L,SUB Rear Naked Choke,other,UFC on FUEL TV: Gustafsson vs Silva,"Apr. 14, 2012",1,4:33,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Papy Abedi,Thiago Alves,L,SUB Rear Naked Choke,other,UFC 138: Leben vs Munoz,"Nov. 05, 2011",1,3:32,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo Abreu,Jake Collier,L,S-DEC,other,UFC Fight Night: Boetsch vs Henderson,"Jun. 06, 2015",3,5:00,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Ricardo Abreu,Wagner Silva,W,SUB Rear Naked Choke,other,UFC Fight Night: Miocic vs Maldonado,"May. 31, 2014",2,1:06,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson Abreu,Shamil Gamzatov,L,S-DEC,other,UFC Fight Night: Zabit vs. Kattar,"Nov. 09, 2019",3,5:00,http://ufcstats.com/fighter-details/7279654c7674cd24
